row_number,title,loren_severity,loren_status,spec_status,audit_verdict,evidence_summary,root_cause,fix_size,recommended_response,dayo_decision,fix_status
1,WCAG 2.2 Compliance,Must Fix,Fail,Cannot find in spec,Partially confirmed,"Basic ARIA exists (dialog roles, keyboard traps, labels) but likely gaps in focus indicators, heading hierarchy, contrast",Built as design prototype with a11y as secondary concern,Medium,"Run axe-core scan, fix critical/serious. Reference DfT agreement if deprioritised.",,
2,GOV.UK Design System,Must Fix,Fail,Cannot find in spec — likely not required,Scope dispute,"Zero GOV.UK references in codebase. Legal req is WCAG not GDS. No govuk-frontend package.",N/A — scope misunderstanding,N/A or Needs design,"Not built on GDS as not agreed requirement. PSBAR 2018 requires WCAG AA not GDS.",,
3,Improved UI/UX,N/A,N/A,Cannot find in spec,Cannot determine without DfT written confirmation,Subjective claim — code cannot assess intuitiveness,N/A,N/A,"Compile written DfT meeting notes confirming UI acceptance.",,
4,Hazard-specific dynamic filtering,Must Fix,Fail,Cannot find in spec,Confirmed,"ID_41 not in case-studies.json. 'Extreme Heat' not canonical — 'High temperatures' is.",ID_41 missing from frontend; no synonym layer for hazard terms,Small,"ID_41 fix in progress. Adding synonym mapping for Extreme Heat → High temperatures.",,
5,AI-enabled navigation/filter logic,N/A,Pass,Cannot find in spec,Confirmed (pass),Hybrid search + query expansion works. Synonym gap for Frost noted.,N/A,N/A,"Synonym coverage will be extended.",,
6,AI search limited to verified sources,N/A,Pass,Cannot find in spec,Confirmed (pass),"System prompt + RAG pipeline restrict to curated knowledge base.",N/A,N/A,"Confirmed by design.",,
7,AI source-linked citations,Backlog,Pass,Cannot find in spec,Confirmed (pass with backlog),Citation rules enforced via system prompt. Volume optimisation is backlog.,N/A,N/A,"Citation behaviour enforced. Volume optimisation is backlog.",,
8,Database updatable,N/A,N/A,Cannot find in spec,Confirmed (close with evidence),"PostgreSQL (Supabase) with admin API endpoints and ingestion scripts.",N/A,N/A,"Architecture supports full CRUD. Admin APIs exist. User-facing editing is v2 scope.",,
9,Database scalable,N/A,N/A,Cannot find in spec,Confirmed (close with evidence),"Supabase is PostgreSQL with native scaling, connection pooling, read replicas.",N/A,N/A,"PostgreSQL natively scales. No architectural ceiling.",,
10,Light-touch onboarding,Must Fix,Fail,Cannot find in spec,Partially confirmed,"7-step walkthrough exists but may have z-index/overlay formatting issues.",z-index layering conflicts with sticky nav,Small,"Fix walkthrough formatting. Compile DfT confirmation of text walkthrough agreement.",,
11,Platform without manuals,Must Fix,Fail,Cannot find in spec,Cannot determine without user testing,Subjective claim. Walkthrough formatting issues confirmed from Q10.,N/A,Small + Needs design,"Fix walkthrough (Q10). Recommend brief user test with DfT users.",,
12,Analytics - search/query,N/A,N/A,Cannot find in spec,Confirmed (close with evidence),"GA4 search_performed event with query text and result count. lib/analytics/ga4.ts lines 12-19.",N/A,N/A,"Implemented. GA4 search_performed event captures every search.",,
13,Analytics - engagement,N/A,N/A,Cannot find in spec,Confirmed (close with evidence),"GA4 events: case_study_opened, filter_applied, chat_opened, heatmap_clicked.",N/A,N/A,"Implemented. Multiple GA4 events capture engagement depth.",,
14,Analytics - support material,N/A,N/A,Cannot find in spec,Confirmed (close with evidence),"GA4 events: pdf_downloaded, brief_generated. Outbound clicks automatic.",N/A,N/A,"Implemented. GA4 pdf_downloaded and brief_generated events.",,
15,Security / CPC cyber,Must Fix,Fail,Cannot find in spec — Gate 3 process item,Cannot determine from code,"Gate 3 item in three-gate deployment. Not a software defect.",Process/governance item,N/A,"CPC cyber review is Gate 3. Coordinate with Chirag/Adam.",,
16,AI logic outputs accurate,Must Fix,Fail,Cannot find in spec,Partially confirmed — by design,"12-chunk retrieval limit + 600 token cap means AI can only cite subset of 66 measures.",Architectural: focused retrieval not enumeration,Medium,"AI designed for focused Q&A not enumeration. Redirect to Options Table for full list.",,
17,Build Brief Example,Must Fix,Fail,Cannot find in spec,Confirmed,"(1) Nav link to brief lacks IDs → example reloads. (2) 12s timeout too short for gpt-4o with 4 cases.","(1) State management gap (2) Timeout too aggressive",Small,"(1) Include brief IDs in nav link. (2) Increase timeout to 30s.",,
18,Case studies not viewable,Must Fix,Fail,Cannot find in spec,Partially confirmed,"'View N cases' is a <Link> to /handbook/cases?highlight=IDs. Click issue needs live testing.",Possible z-index or pointer-events conflict in chat panel,Small,"Investigating click issue. Context loss in new tabs is by design.",,
19,Broken external content (HS2),Must Fix,Fail,Cannot find in spec,Refuted,"HS2 Learning Legacy URL returns HTTP 200 with valid content as of 2026-05-01.",Likely transient network issue during Loren's testing,Trivial (none needed),"Link verified working. Will add automated link monitoring.",,
20,Confusing text directions,Must Fix,Fail,Cannot find in spec,Confirmed,"'Browse all cases below' at line 2080 of handbook/page.tsx appears after marquee at page bottom.",Text positioned below marquee without case cards below,Trivial,"Reword to 'Search or filter above to explore case studies'.",,
21,Manual Filtering - Wales,Must Fix,Fail,Cannot find in spec,Partially confirmed,"No case studies tagged with Wales in ukRegion or ukApplicability. 7 mention Wales in free text.",Metadata gap — structured fields not populated from source text,Medium,"Tag 7 cases with Welsh applicability or remove Wales from filter until data populated.",,
22,Manual Filtering 2 - Cost,Must Fix,Fail,Cannot find in spec,Partially confirmed,"ID_06 costBand is 'Large programme' not '£100m+'. But cost text uses ÖBB annual budget as proxy.",Data tagging error — annual budget used as adaptation cost,Small,"Correct cost text to 'Adaptation costs not publicly available'. Data quality fix.",,
23,UI Layout,Backlog,Minor,Cannot find in spec,Cannot determine without user testing,Subjective. Multiple entry points confirmed in code.,N/A,Needs design,"Backlog item. Consolidate in post-beta UX review.",,
24,Transfer to other sectors,Backlog,Minor,Cannot find in spec,Confirmed (by design),"SECTORS excludes case's own sector. 'Highways' = 'Road' in TRIB taxonomy.",Terminology mismatch + expected exclusion,Trivial,"Panel correctly excludes home sector. Add explanatory note.",,
25,Filtering adaptation options,Must Fix,Fail,Cannot find in spec,Cannot determine from code,"Filters operate independently not cascading. Needs live testing to confirm cell-count mismatch.",Filter independence rather than cascading,Medium,"Implement cascading filters. Design with user input.",,
26,Optimising UI cross-linking,Backlog,Minor,Cannot find in spec,Cannot determine without user testing,Strategic recommendation not a defect.,N/A,Needs design,"Agreed as backlog. Design sprint with user input post-beta.",,
